date,open,close,high,low,volume
2024-01-02,72.7,74.26,76.59,72.7,2932.13
2024-01-03,74.02,70.35,74.4,70.33,2396.17
2024-01-04,70.35,74.07,75.35,69.92,6519.78
2024-01-05,75.5,72.33,75.71,71.34,2328.57
2024-01-08,71.42,70.42,71.74,69.32,2794.59
2024-01-09,69.73,74.62,74.62,69.73,5291.84
2024-01-10,74.71,72.15,75.08,71.73,5333.5
2024-01-11,72.14,75.66,76.01,71.42,3954.45
2024-01-12,75.69,75.26,75.91,73.72,1892.67
2024-01-15,75.02,72.55,75.02,71.74,2564.34
2024-01-16,71.63,70.05,72.72,68.3,3583.89
2024-01-17,69.73,67.63,70.2,67.45,1738.44
2024-01-18,66.41,65.65,67.44,63.26,4700.97
2024-01-19,64.26,64.98,65.76,63.76,1338.86
2024-01-22,65.63,62.78,66.42,62.06,2766.55
2024-01-23,65.63,63.36,65.75,61.77,1221.9
2024-01-24,63.26,63.26,64.05,60.38,1765.14
2024-01-25,62.49,64.78,65.37,62.12,2053.82
2024-01-26,64.72,64.06,64.75,62.95,1356.86
2024-01-29,63.49,61.77,65.09,61.77,1401.84
2024-01-30,61.77,60.43,63.12,60.28,1455.86
2024-01-31,59.55,58.0,61.36,57.92,1649.46
2024-02-01,57.76,57.44,59.11,57.0,2057.91
2024-02-02,57.01,50.41,58.33,47.84,7604.25
2024-02-05,49.81,46.57,49.81,41.14,8576.09
2024-02-06,46.61,45.92,49.81,41.39,5310.25
2024-02-07,47.71,41.17,47.73,40.63,9321.08
2024-02-08,41.34,49.41,49.41,40.34,8003.85
2024-02-19,49.14,47.02,49.73,46.06,6751.81
2024-02-20,47.02,48.87,49.39,46.33,7449.61
2024-02-21,48.77,48.84,51.66,47.2,5860.52
2024-02-22,49.06,49.4,50.26,47.82,5642.08
2024-02-23,50.18,51.78,52.54,49.01,7410.16
2024-02-26,53.31,51.95,53.78,51.33,7236.8
2024-02-27,52.28,55.4,56.79,51.8,9034.38
2024-02-28,55.39,50.01,55.39,49.99,7789.65
2024-02-29,50.01,51.68,53.36,49.73,13678.01
2024-03-01,51.43,52.89,54.14,51.21,8265.39
2024-03-04,53.17,52.52,53.58,51.29,3827.12
2024-03-05,51.94,52.32,54.55,51.33,4587.97
2024-03-06,51.47,51.51,52.66,50.48,4270.25
2024-03-07,51.54,50.55,52.38,50.14,3646.43
2024-03-08,51.01,51.39,51.47,50.2,2632.24
2024-03-11,52.43,51.64,52.43,50.36,2291.65
2024-03-12,51.65,52.47,52.48,51.14,3649.41
2024-03-13,52.6,52.77,53.8,51.89,5311.09
2024-03-14,52.94,52.7,53.31,51.92,3296.83
2024-03-15,52.5,53.28,53.68,52.1,3076.96
2024-03-18,54.13,54.35,54.65,53.11,3326.29
2024-03-19,54.39,54.53,56.29,54.35,4104.44
2024-03-20,54.53,54.19,55.14,53.4,3090.39
2024-03-21,54.14,54.89,55.6,52.3,4586.97
2024-03-22,54.39,53.01,54.56,52.91,3412.56
2024-03-25,51.92,51.32,53.42,51.32,3613.03
2024-03-26,50.54,50.61,51.58,49.48,2303.06
2024-03-27,50.28,48.83,50.76,48.72,1646.23
2024-03-28,48.85,49.45,50.34,48.85,3589.1
2024-03-29,49.87,50.28,50.57,49.01,3490.11
2024-04-01,50.79,50.93,51.7,49.99,2690.17
2024-04-02,50.93,50.19,51.31,49.95,2392.0
2024-04-03,50.49,49.07,50.49,48.33,2631.7
2024-04-08,49.47,46.46,49.47,46.25,4711.56
2024-04-09,46.83,45.64,47.22,44.82,6934.4
2024-04-10,45.5,44.13,45.51,43.24,4664.43
2024-04-11,44.13,44.3,46.24,43.87,4318.27
2024-04-12,44.47,43.73,44.91,43.64,2532.59
2024-04-15,42.87,42.67,44.33,41.98,3616.3
