date,open,close,high,low,volume
2024-01-02,37.83,37.02,37.91,36.97,5090.32
2024-01-03,37.11,36.4,37.2,36.05,4061.05
2024-01-04,36.21,35.79,36.36,35.74,2603.66
2024-01-05,35.79,35.69,36.28,35.51,3602.46
2024-01-08,35.3,35.47,36.27,34.78,5123.3
2024-01-09,35.16,35.1,35.72,34.96,3643.45
2024-01-10,34.95,35.02,35.71,34.51,3483.38
2024-01-11,34.66,36.1,36.49,34.66,4191.37
2024-01-12,36.12,35.51,36.36,35.51,1884.0
2024-01-15,35.51,35.01,35.65,34.52,3519.07
2024-01-16,34.67,34.66,35.32,34.24,2434.34
2024-01-17,34.25,32.79,34.78,32.65,5203.68
2024-01-18,31.98,32.62,33.53,31.54,6720.93
2024-01-19,33.09,31.88,33.09,31.77,2463.03
2024-01-22,31.75,29.98,32.03,29.73,6894.65
2024-01-23,28.66,28.95,30.31,28.66,5714.32
2024-01-24,29.59,28.8,29.59,27.58,4700.66
2024-01-25,28.14,29.09,29.47,28.03,7912.9
2024-01-26,29.01,28.65,29.09,27.62,8200.65
2024-01-29,28.76,27.33,28.8,27.29,3909.16
2024-01-30,27.06,26.04,27.8,26.0,9063.08
2024-01-31,26.01,23.72,26.21,23.67,15085.79
2024-02-01,23.72,24.55,25.45,23.72,13659.38
2024-02-02,24.75,23.3,24.87,22.58,9694.0
2024-02-05,23.3,20.48,23.3,20.11,14636.98
2024-02-06,19.6,21.31,22.19,18.84,14683.39
2024-02-07,22.24,22.68,24.62,21.95,15439.87
2024-02-08,22.53,27.21,27.21,21.79,18386.22
2024-02-19,26.4,26.59,27.17,25.43,15989.18
2024-02-20,26.21,26.16,26.59,25.46,5874.0
2024-02-21,26.61,26.83,27.52,25.63,7483.46
2024-02-22,26.84,26.56,27.07,26.02,5432.33
2024-02-23,26.69,27.29,27.29,26.16,4222.27
2024-02-26,27.53,27.89,28.59,27.19,6515.53
2024-02-27,27.74,28.59,28.82,27.45,6595.62
2024-02-28,28.58,26.95,29.61,26.74,9335.03
2024-02-29,26.12,26.89,27.39,26.04,16874.51
2024-03-01,26.95,26.69,27.11,26.04,10730.89
2024-03-04,26.74,27.1,27.21,26.05,9507.15
2024-03-05,26.94,26.96,27.8,26.55,7157.14
2024-03-06,26.81,26.85,27.18,26.12,7538.25
2024-03-07,27.05,26.59,27.25,26.23,5432.25
2024-03-08,26.64,26.6,26.83,26.3,3116.82
2024-03-11,26.33,27.77,27.96,26.25,6597.57
2024-03-12,27.94,27.71,28.37,26.83,7364.2
2024-03-13,27.49,27.31,27.8,27.04,5897.79
2024-03-14,27.31,27.43,27.67,27.08,6184.58
2024-03-15,27.73,27.48,27.98,26.97,3596.27
2024-03-18,27.47,28.59,28.72,27.21,5873.85
2024-03-19,28.59,28.8,28.94,28.19,4717.91
2024-03-20,28.97,28.57,29.03,28.39,3207.01
2024-03-21,29.18,28.07,29.18,27.81,5188.28
2024-03-22,27.89,27.36,28.52,27.12,4892.51
