date,open,close,high,low,volume
2024-01-02,4.31,4.43,4.45,4.31,232150.31
2024-01-03,4.41,4.5,4.51,4.4,176369.0
2024-01-04,4.49,4.48,4.52,4.44,122193.99
2024-01-05,4.46,4.43,4.53,4.41,137667.36
2024-01-08,4.44,4.34,4.45,4.33,114383.0
2024-01-09,4.32,4.32,4.36,4.29,93112.94
2024-01-10,4.3,4.28,4.33,4.26,86690.91
2024-01-11,4.27,4.34,4.49,4.26,285141.94
2024-01-12,4.33,4.77,4.77,4.33,939938.82
2024-01-15,4.92,4.67,5.01,4.65,1286438.65
2024-01-16,4.67,4.61,4.72,4.55,734758.5
2024-01-17,4.6,4.42,4.61,4.42,510147.6
2024-01-18,4.38,4.32,4.41,4.19,517633.75
2024-01-19,4.28,4.24,4.31,4.22,320858.2
2024-01-22,4.2,4.01,4.22,3.95,365624.37
2024-01-23,4.04,4.05,4.08,3.93,206572.63
2024-01-24,4.05,4.13,4.15,3.97,262339.76
2024-01-25,4.12,4.35,4.35,4.12,367888.31
2024-01-26,4.32,4.47,4.5,4.29,470989.01
2024-01-29,4.45,4.37,4.49,4.35,298769.67
2024-01-30,4.33,4.35,4.48,4.33,256149.29
2024-01-31,4.33,4.25,4.46,4.23,314996.0
2024-02-01,4.18,4.11,4.24,4.06,251486.9
2024-02-02,4.13,3.96,4.2,3.84,298302.73
2024-02-05,3.99,3.63,3.99,3.62,370617.95
2024-02-06,3.59,3.98,3.99,3.53,394314.07
2024-02-07,3.96,4.05,4.15,3.92,362468.78
2024-02-08,4.07,4.18,4.22,4.07,298111.81
2024-02-19,4.21,4.19,4.26,4.15,231997.65
2024-02-20,4.19,4.15,4.19,4.11,217740.29
2024-02-21,4.12,4.18,4.28,4.11,256796.7
2024-02-22,4.21,4.23,4.24,4.15,169126.0
2024-02-23,4.23,4.24,4.27,4.17,222516.57
2024-02-26,4.23,4.21,4.25,4.18,203623.05
2024-02-27,4.18,4.24,4.24,4.17,191337.21
2024-02-28,4.24,4.21,4.39,4.2,380329.29
2024-02-29,4.22,4.29,4.29,4.19,224299.01
2024-03-01,4.29,4.28,4.32,4.25,162523.34
2024-03-04,4.3,4.31,4.31,4.23,156706.25
2024-03-05,4.29,4.28,4.35,4.26,179870.41
2024-03-06,4.28,4.37,4.39,4.27,274121.53
2024-03-07,4.36,4.42,4.48,4.33,342904.0
2024-03-08,4.43,4.44,4.5,4.37,265781.18
2024-03-11,4.48,4.55,4.64,4.48,417973.68
2024-03-12,4.55,4.45,4.55,4.44,315753.25
2024-03-13,4.46,4.43,4.47,4.4,177497.42
2024-03-14,4.44,4.42,4.45,4.36,190684.47
2024-03-15,4.41,4.47,4.49,4.39,160422.94
2024-03-18,4.46,4.53,4.56,4.46,249185.63
2024-03-19,4.52,4.46,4.55,4.45,188076.77
2024-03-20,4.46,4.46,4.49,4.42,150826.0
2024-03-21,4.47,4.45,4.49,4.42,146853.0
2024-03-22,4.46,4.35,4.46,4.33,206071.78
2024-03-25,4.35,4.33,4.41,4.33,138608.0
2024-03-26,4.32,4.36,4.38,4.27,144182.0
2024-03-27,4.37,4.26,4.4,4.25,145800.0
2024-03-28,4.28,4.3,4.34,4.23,138941.16
2024-03-29,4.31,4.4,4.4,4.3,148496.0
2024-04-01,4.4,4.46,4.46,4.4,176637.18
2024-04-02,4.46,4.48,4.5,4.44,201854.78
2024-04-03,4.48,4.5,4.5,4.42,174827.62
2024-04-08,4.5,4.74,4.75,4.49,689542.12
2024-04-09,4.74,4.64,4.75,4.56,593498.48
2024-04-10,4.69,4.7,4.89,4.62,744140.03
2024-04-11,4.66,4.79,4.83,4.6,607932.42
2024-04-12,4.74,4.66,4.79,4.64,428947.78
2024-04-15,4.6,4.67,4.72,4.53,410231.21
2024-04-16,4.63,4.46,4.71,4.46,445179.59
2024-04-17,4.47,4.58,4.58,4.47,326200.73
2024-04-18,4.55,4.49,4.58,4.48,303247.1
2024-04-19,4.46,4.38,4.52,4.36,303995.5
2024-04-22,4.4,4.32,4.41,4.3,243413.0
2024-04-23,4.3,4.24,4.34,4.22,209382.54
2024-04-24,4.24,4.38,4.42,4.24,254762.68
2024-04-25,4.36,4.38,4.38,4.32,167220.0
2024-04-26,4.34,4.38,4.38,4.2,361075.62
2024-04-29,4.35,4.6,4.66,4.33,470158.44
2024-04-30,4.59,4.61,4.65,4.57,296683.96
2024-05-06,4.65,4.77,4.78,4.62,389195.0
2024-05-07,4.77,4.71,4.78,4.7,251415.9
2024-05-08,4.73,4.76,4.9,4.72,597530.21
2024-05-09,4.76,4.74,4.8,4.72,355543.0
2024-05-10,4.72,4.94,4.97,4.71,700518.69
