date,open,close,high,low,volume
2024-01-02,15.16,15.63,15.83,15.16,36625.2
2024-01-03,15.56,15.44,15.86,15.3,17719.8
2024-01-04,15.41,15.46,15.51,15.22,16289.2
2024-01-05,15.48,15.17,15.51,15.11,16564.0
2024-01-08,15.09,14.75,15.09,14.75,18553.8
2024-01-09,14.89,14.93,15.12,14.78,18377.13
2024-01-10,15.04,14.93,15.12,14.76,15415.6
2024-01-11,14.9,15.13,15.25,14.58,17169.4
2024-01-12,15.17,14.88,15.27,14.87,12993.2
2024-01-15,14.89,15.31,15.46,14.6,36514.88
2024-01-16,16.54,16.83,16.83,15.78,179462.89
2024-01-17,17.32,15.15,17.34,15.15,348363.89
2024-01-18,15.28,14.97,15.64,14.57,211630.6
2024-01-19,14.77,14.39,14.84,14.18,126193.3
2024-01-22,14.24,14.1,15.12,13.88,111089.67
2024-01-23,14.09,14.01,14.21,13.56,63347.2
2024-01-24,14.02,14.08,14.23,13.48,70242.86
2024-01-25,13.98,14.57,14.61,13.86,58573.26
2024-01-26,14.45,15.0,15.4,14.45,86827.68
2024-01-29,14.98,14.37,15.21,14.25,47787.6
2024-01-30,14.25,14.14,14.38,13.91,25758.4
2024-01-31,13.96,13.65,14.18,13.48,38446.6
2024-02-01,14.37,14.18,14.64,13.21,87120.0
2024-02-02,14.12,13.34,14.25,12.82,54117.0
2024-02-05,13.08,12.03,13.11,12.0,56857.0
2024-02-06,12.14,12.48,12.91,11.21,71137.52
2024-02-07,12.54,11.91,12.89,11.43,76716.6
2024-02-08,11.83,12.64,12.8,10.78,78104.92
2024-02-19,12.64,13.12,13.26,12.49,65719.36
2024-02-20,13.04,13.58,13.66,12.87,47364.55
2024-02-21,13.59,13.66,14.0,13.39,41226.4
2024-02-22,13.46,13.75,13.8,13.46,25940.61
2024-02-23,13.84,13.83,13.9,13.48,38323.61
2024-02-26,14.16,14.73,15.21,14.12,83146.52
2024-02-27,14.57,14.81,15.02,14.37,48476.87
2024-02-28,14.81,13.88,14.97,13.74,56058.2
2024-02-29,13.68,14.16,14.21,13.48,42990.0
2024-03-01,14.11,13.92,14.25,13.76,33739.0
2024-03-04,13.86,13.93,14.03,13.24,56726.4
2024-03-05,13.72,14.18,14.41,13.54,68781.2
2024-03-06,14.01,14.69,15.59,13.74,121177.85
2024-03-07,14.8,14.34,15.03,14.08,90417.2
2024-03-08,14.24,14.6,14.66,13.98,65406.47
2024-03-11,14.92,16.06,16.06,14.92,210171.59
2024-03-12,15.86,17.46,17.66,15.36,373376.48
2024-03-13,16.19,16.53,17.14,15.74,277427.66
