date,open,close,high,low,volume
2024-01-02,49.75,49.44,51.02,48.56,230275.31
2024-01-03,48.95,47.16,50.12,47.14,258194.08
2024-01-04,46.98,45.07,47.14,44.58,300549.33
2024-01-05,44.97,44.55,45.14,43.27,225445.78
2024-01-08,44.45,43.66,45.08,43.57,133274.9
2024-01-09,44.28,44.39,45.97,43.13,251565.92
2024-01-10,44.39,44.47,46.56,43.99,299560.82
2024-01-11,44.69,48.92,48.92,44.69,234523.07
2024-01-12,50.27,44.98,50.27,44.03,590281.95
2024-01-15,43.98,49.48,49.48,43.44,619645.8
2024-01-16,49.47,50.25,50.58,47.58,551213.0
2024-01-17,50.44,48.16,50.64,48.16,338867.8
2024-01-18,47.71,51.64,52.97,47.66,558926.92
2024-01-19,50.66,50.57,52.51,49.0,454332.43
2024-01-22,51.09,46.37,51.48,45.52,418922.95
2024-01-23,45.77,46.56,47.84,44.58,349016.02
2024-01-24,46.27,45.39,46.53,43.58,366709.52
2024-01-25,44.76,46.75,47.88,44.53,416785.9
2024-01-26,46.19,42.87,46.53,42.87,408748.75
2024-01-29,42.38,39.35,43.38,39.32,320326.9
2024-01-30,38.8,38.3,40.54,38.3,230609.94
2024-01-31,38.18,37.68,39.29,37.44,255635.21
2024-02-01,37.46,38.31,39.95,37.11,280434.21
2024-02-02,38.13,36.23,38.53,34.82,296691.29
2024-02-05,35.78,33.54,36.49,33.32,259951.44
2024-02-06,33.23,36.17,36.89,31.91,355744.39
2024-02-07,36.12,35.37,38.79,34.68,379169.98
2024-02-08,35.9,38.91,38.91,35.46,316287.15
2024-02-19,42.8,42.8,42.8,42.8,36307.42
2024-02-20,47.08,47.08,47.08,47.08,12976.0
2024-02-21,47.76,49.73,51.79,46.86,802118.32
2024-02-22,52.73,54.7,54.7,52.04,623546.16
2024-02-23,58.29,60.18,60.18,57.17,506034.75
2024-02-26,62.19,62.98,65.53,58.61,681541.46
2024-02-27,61.19,69.28,69.28,60.69,607371.47
2024-02-28,70.52,66.76,72.29,64.67,730116.91
2024-02-29,66.86,73.44,73.44,66.86,799125.43
2024-03-01,73.43,72.63,74.37,70.55,581577.61
2024-03-04,74.22,79.9,79.9,72.68,554059.82
2024-03-05,81.09,87.88,87.88,80.59,680787.44
2024-03-06,86.13,89.57,91.04,86.06,632600.62
2024-03-07,88.55,85.17,89.48,83.6,609458.73
2024-03-08,86.07,84.57,86.54,81.98,516129.48
2024-03-11,82.58,88.05,88.75,82.58,564429.21
2024-03-12,85.7,84.81,86.48,82.78,489214.21
2024-03-13,85.77,83.28,87.34,81.6,506052.22
2024-03-14,80.69,82.03,84.05,79.8,435718.14
2024-03-15,82.38,83.1,83.58,79.0,452739.44
2024-03-18,82.58,86.56,89.76,81.87,607534.49
2024-03-19,85.07,88.55,95.22,82.48,817429.79
2024-03-20,88.05,88.2,89.55,85.96,463376.92
2024-03-21,87.8,84.3,88.44,84.07,449272.68
2024-03-22,84.57,84.57,87.66,83.48,391996.17
2024-03-25,86.05,85.57,92.4,85.57,578855.31
2024-03-26,87.46,88.45,92.42,81.79,678265.16
2024-03-27,84.07,79.61,84.07,79.61,381926.0
2024-03-28,75.98,78.2,81.27,74.93,561107.0
2024-03-29,75.86,75.68,77.79,73.13,450432.93
2024-04-01,75.95,76.11,76.99,74.77,311916.8
2024-04-02,76.02,72.09,76.02,71.84,342476.58
2024-04-03,72.32,72.63,74.52,71.89,315080.68
2024-04-08,71.14,70.64,73.38,70.64,239450.33
2024-04-09,66.95,63.58,69.15,63.58,340573.91
2024-04-10,59.88,58.35,60.62,57.22,514423.67
2024-04-11,57.61,56.29,58.96,56.23,403783.11
2024-04-12,56.57,55.58,57.2,55.52,292602.08
2024-04-15,53.73,52.7,55.48,51.54,351672.21
2024-04-16,52.74,50.15,53.28,49.26,269030.79
2024-04-17,51.04,55.16,55.16,50.75,265293.62
2024-04-18,49.65,49.65,49.65,49.65,82630.0
2024-04-19,44.68,44.68,44.68,44.68,15996.0
2024-04-22,40.22,40.22,40.22,40.22,18902.0
2024-04-23,36.2,39.8,41.06,36.2,667567.28
2024-04-24,38.78,43.78,43.78,38.5,558867.68
2024-04-25,45.04,45.62,47.5,44.57,648630.82
2024-04-26,46.26,50.19,50.19,46.26,326954.92
2024-04-29,47.24,48.72,50.38,47.06,621009.83
2024-04-30,49.72,46.29,50.54,45.59,468802.42
2024-05-06,47.21,45.8,47.65,45.59,288070.68
2024-05-07,45.54,46.0,47.84,45.47,296529.15
2024-05-08,45.46,43.8,45.68,43.64,252941.46
2024-05-09,43.76,44.72,44.96,43.76,185124.02
2024-05-10,44.87,43.02,45.15,42.69,193264.64
2024-05-13,42.85,41.54,43.56,41.12,176345.35
2024-05-14,41.55,45.7,45.7,41.55,374914.64
2024-05-15,45.85,49.25,50.23,45.85,591990.0
2024-05-16,49.44,47.01,50.39,46.03,501137.07
2024-05-17,46.74,46.87,47.8,45.37,323180.7
2024-05-20,46.87,51.56,51.56,45.77,511112.04
2024-05-21,52.55,51.88,55.16,50.74,671178.72
2024-05-22,50.8,51.58,54.38,50.8,455464.67
2024-05-23,51.58,55.86,56.73,51.57,647099.01
2024-05-24,55.49,53.33,55.49,51.97,421454.01
2024-05-27,52.73,50.21,53.03,48.22,384807.36
2024-05-28,50.54,49.35,51.55,48.45,321574.61
2024-05-29,48.75,51.06,52.68,48.55,334873.9
2024-05-30,49.96,46.2,49.96,45.96,426113.56
2024-05-31,45.57,46.67,48.26,45.57,316392.46
2024-06-03,46.4,46.96,47.94,46.14,257698.48
2024-06-04,46.71,46.01,46.85,45.12,217646.0
2024-06-05,45.92,44.65,46.25,44.63,164882.97
2024-06-06,45.26,44.77,46.23,43.88,257394.93
2024-06-07,44.48,43.94,45.16,43.08,214689.68
2024-06-11,43.28,44.46,44.73,42.39,187999.02
2024-06-12,44.16,44.97,45.54,44.16,173925.0
2024-06-13,44.77,45.35,47.11,44.77,279315.01
2024-06-14,44.77,46.0,46.56,43.89,262649.39
2024-06-17,44.65,43.74,45.18,42.58,284572.5
2024-06-18,43.73,43.87,44.53,42.88,235905.94
2024-06-19,43.81,43.11,44.92,42.95,191271.01
2024-06-20,42.97,41.1,43.0,40.9,209714.01
2024-06-21,41.09,45.21,45.21,40.58,335092.33
2024-06-24,45.77,44.76,47.0,44.63,443712.06
2024-06-25,44.66,42.24,45.16,41.8,294195.01
2024-06-26,42.49,43.63,44.28,41.53,302229.29
2024-06-27,42.98,41.99,44.13,41.98,213037.32
2024-06-28,41.69,44.15,46.19,41.39,414272.33
2024-07-01,44.77,43.65,45.04,42.73,271418.33
2024-07-02,43.38,43.05,43.66,42.58,169593.0
2024-07-03,42.97,42.36,42.97,42.14,122663.0
2024-07-04,42.62,41.74,42.7,40.86,171823.58
2024-07-05,41.4,41.7,42.22,40.17,153454.21
2024-07-08,41.27,39.4,41.27,39.19,173490.0
2024-07-09,39.61,40.78,41.55,38.9,199020.0
2024-07-10,40.31,40.82,42.39,40.25,205269.0
2024-07-11,41.55,41.48,41.91,40.74,172342.13
2024-07-12,41.23,40.36,41.23,40.31,145019.06
2024-07-15,39.83,39.69,40.59,39.55,98744.19
2024-07-16,39.45,40.48,40.94,38.65,191132.0
2024-07-17,40.15,40.03,42.04,40.0,214009.75
2024-07-18,39.3,40.58,41.39,39.08,190795.75
2024-07-19,40.1,43.28,44.64,39.8,505412.9
2024-07-22,42.66,43.79,45.32,42.11,416325.99
2024-07-23,43.79,41.6,44.14,41.46,262055.82
2024-07-24,41.37,43.87,45.36,41.17,435392.0
2024-07-25,44.06,46.42,46.76,43.38,491013.58
2024-07-26,44.77,44.45,45.11,43.63,355591.66
2024-07-29,43.95,43.33,44.98,43.04,246757.01
2024-07-30,43.37,43.69,44.16,42.41,217023.17
2024-07-31,43.13,44.57,44.77,42.69,274587.68
2024-08-01,45.27,43.72,45.37,43.68,231394.0
2024-08-02,43.03,43.2,45.17,43.0,195439.0
2024-08-05,42.51,40.18,42.51,40.0,256839.84
2024-08-06,40.65,40.83,40.92,39.67,148400.0
2024-08-07,40.79,40.51,41.49,40.39,132398.0
2024-08-08,39.83,40.16,40.79,39.47,116908.0
2024-08-09,40.4,39.97,40.76,39.82,89380.0
2024-08-12,39.82,39.1,39.95,38.82,102852.0
2024-08-13,39.14,39.44,39.44,38.81,79278.5
2024-08-14,40.62,39.66,40.89,39.6,115473.5
2024-08-15,39.3,39.92,40.3,38.85,133612.35
2024-08-16,39.84,40.33,41.03,39.71,180127.51
2024-08-19,40.1,39.87,41.04,39.8,124175.0
2024-08-20,39.7,38.8,39.7,38.7,112729.51
2024-08-21,38.77,38.47,39.0,38.25,68082.08
2024-08-22,38.47,37.27,39.19,36.52,122974.35
2024-08-23,37.21,38.24,38.95,36.47,162139.04
2024-08-26,38.12,36.99,38.12,36.77,120258.66
2024-08-27,36.61,35.66,36.87,35.65,121419.0
2024-08-28,35.04,35.39,35.75,34.12,143996.69
2024-08-29,35.36,35.7,36.03,34.84,102865.56
2024-08-30,35.56,36.97,37.48,35.56,153222.54
2024-09-02,36.66,35.19,36.96,35.18,129826.5
2024-09-03,35.12,36.84,37.76,34.99,212695.5
2024-09-04,36.0,36.29,36.65,35.81,110773.68
2024-09-05,36.15,36.31,36.72,36.01,84038.0
2024-09-06,36.31,35.69,36.41,35.56,82622.51
2024-09-09,35.42,39.26,39.26,35.16,240652.5
2024-09-10,39.2,38.18,39.2,37.56,287766.4
2024-09-11,38.18,37.86,38.64,37.48,120140.0
2024-09-12,38.46,38.88,40.08,38.09,317748.21
2024-09-13,38.86,39.87,41.48,38.76,329028.1
2024-09-18,38.55,38.66,39.79,38.1,221181.69
2024-09-19,39.06,39.78,40.64,37.96,254699.18
2024-09-20,39.46,40.75,41.42,39.46,286540.48
2024-09-23,40.11,39.73,40.97,39.26,225653.56
2024-09-24,39.63,40.49,40.75,38.52,281319.13
2024-09-25,41.28,42.19,43.7,41.28,384516.6
2024-09-26,41.35,42.9,43.08,40.83,292247.8
2024-09-27,43.36,44.93,45.95,42.9,371932.65
2024-09-30,46.95,49.43,49.43,45.85,349192.01
2024-10-08,54.37,54.37,54.37,51.17,437590.8
2024-10-09,52.86,54.17,58.7,51.55,506672.34
2024-10-10,53.55,54.77,57.94,51.32,427244.87
2024-10-11,52.55,49.3,52.93,49.3,298472.51
2024-10-14,48.27,54.23,54.23,47.58,307196.49
2024-10-15,57.48,59.66,59.66,57.48,299293.75
2024-10-16,61.94,65.62,65.62,60.94,881461.28
2024-10-17,59.16,60.41,63.26,59.06,702882.43
2024-10-18,61.24,62.23,64.33,61.24,575294.94
2024-10-21,59.94,63.83,68.31,59.94,603590.66
2024-10-22,63.96,64.81,67.44,62.12,551277.43
2024-10-23,62.26,68.04,71.23,60.94,623695.29
2024-10-24,66.93,68.51,73.92,66.33,489360.94
2024-10-25,71.83,72.0,73.91,68.63,517570.98
2024-10-28,71.01,69.93,72.89,68.94,404692.64
2024-10-29,68.43,65.93,69.23,64.86,425932.97
2024-10-30,63.9,72.53,72.53,62.52,464290.09
2024-10-31,73.83,71.88,78.69,70.83,643814.23
2024-11-01,68.03,64.69,69.37,64.69,346111.38
2024-11-04,60.94,64.11,65.79,60.94,245433.07
2024-11-05,64.93,67.15,68.73,64.06,318241.13
2024-11-06,68.19,67.81,69.93,66.93,299696.17
2024-11-07,66.95,69.8,71.18,66.59,291199.14
2024-11-08,69.53,69.54,73.9,69.43,312376.25
2024-11-11,69.59,70.72,71.8,68.51,252734.96
2024-11-12,69.49,67.2,69.91,65.73,284395.51
2024-11-13,66.53,66.39,67.53,64.82,154689.05
2024-11-14,65.73,64.13,66.39,63.93,132105.53
2024-11-15,64.58,60.35,66.14,60.29,200763.6
2024-11-18,60.39,56.08,60.63,55.44,214316.29
2024-11-19,56.15,57.24,57.6,55.34,165743.39
2024-11-20,56.9,58.36,58.7,56.62,166855.01
2024-11-21,57.94,60.67,63.01,57.79,276821.31
2024-11-22,59.94,58.36,61.54,58.24,186787.09
2024-11-25,57.93,57.65,58.78,55.59,141826.4
2024-11-26,57.63,56.58,58.24,56.44,83050.66
2024-11-27,56.44,57.73,57.73,54.99,110220.0
2024-11-28,58.16,58.04,59.23,57.39,144749.0
2024-11-29,57.49,58.96,59.74,57.49,160336.39
2024-12-02,58.74,58.95,59.12,57.44,142193.0
2024-12-03,59.62,58.32,59.82,57.18,136782.73
2024-12-04,58.43,57.37,59.2,57.31,96985.71
2024-12-05,56.85,59.56,60.22,56.79,194051.76
2024-12-06,60.02,61.47,63.03,58.9,239259.5
2024-12-09,60.83,59.43,61.55,58.78,149580.26
2024-12-10,61.94,60.02,61.94,59.93,155222.75
2024-12-11,59.24,61.72,62.72,59.16,162593.96
2024-12-12,61.14,60.9,61.66,60.11,102661.73
2024-12-13,60.04,58.92,60.44,58.84,101926.9
2024-12-16,59.79,61.1,63.93,58.56,259288.01
2024-12-17,60.63,60.23,63.13,59.05,189660.08
2024-12-18,60.27,60.22,61.27,58.62,134296.14
2024-12-19,59.52,63.32,64.73,59.29,301936.37
2024-12-20,62.48,63.14,64.08,61.71,217641.45
2024-12-23,63.48,61.24,64.11,60.75,158169.0
2024-12-24,61.43,61.85,62.91,60.24,116278.4
2024-12-25,61.33,63.09,64.92,60.45,205533.02
2024-12-26,62.64,64.8,65.36,62.42,208837.45
2024-12-27,64.26,63.58,65.13,63.28,156404.87
2024-12-30,64.23,63.14,64.53,62.65,99994.71
2024-12-31,63.73,62.23,63.92,61.21,136531.58
2025-01-02,61.24,56.03,61.34,56.0,219542.19
2025-01-03,56.12,51.37,56.42,51.03,168616.7
2025-01-06,50.95,50.4,51.87,49.63,108079.02
2025-01-07,50.43,51.18,51.19,50.02,91848.56
2025-01-08,50.75,50.64,51.13,48.73,123417.0
2025-01-09,50.01,50.26,51.05,49.87,88654.0
2025-01-10,49.96,49.08,51.67,49.03,113774.51
2025-01-13,47.95,49.13,49.3,47.62,73878.0
2025-01-14,49.25,51.88,52.18,48.83,142605.79
2025-01-15,51.76,51.05,52.6,50.9,88808.25
2025-01-16,51.06,51.24,52.07,50.47,96312.0
2025-01-17,50.93,51.4,51.94,50.57,84179.27
2025-01-20,51.53,53.34,53.94,51.25,153904.26
2025-01-21,53.14,56.31,58.68,52.95,285651.19
2025-01-22,56.04,57.11,57.5,54.94,176235.6
2025-01-23,57.44,57.89,61.74,57.05,273083.91
2025-01-24,57.44,55.94,58.25,54.44,234700.65
2025-01-27,55.95,54.09,56.14,53.75,118464.0
2025-02-05,56.31,54.95,56.94,54.43,181193.9
2025-02-06,54.68,55.48,55.94,54.12,138129.75
2025-02-07,55.99,58.18,59.99,55.75,289696.58
2025-02-10,58.94,60.9,62.22,58.94,295668.02
2025-02-11,60.03,58.07,60.03,58.04,180776.77
2025-02-12,57.77,58.32,58.53,57.24,135901.51
2025-02-13,58.32,58.77,60.51,56.23,267342.98
2025-02-14,58.12,58.54,59.82,56.46,211000.52
2025-02-17,58.74,59.29,62.14,58.54,252924.23
2025-02-18,58.29,57.29,61.84,56.86,223530.49
2025-02-19,56.94,58.47,59.91,56.49,164690.38
2025-02-20,57.85,57.31,58.17,56.95,115575.01
2025-02-21,57.59,58.79,59.13,57.31,183295.62
2025-02-24,58.24,58.79,59.11,57.42,139486.36
2025-02-25,57.58,57.12,58.62,56.8,148318.28
2025-02-26,57.1,55.85,57.14,55.6,136367.24
2025-02-27,55.55,56.0,57.2,55.55,102721.92
2025-02-28,55.56,52.1,55.6,52.08,131526.34
2025-03-03,52.1,51.45,52.32,50.7,84343.61
2025-03-04,50.86,52.02,52.15,50.85,57009.25
2025-03-05,52.05,52.37,53.54,51.23,96915.0
2025-03-06,52.65,53.07,53.34,52.18,97565.65
2025-03-07,52.95,52.05,52.95,51.75,74690.54
2025-03-10,51.8,51.72,52.19,51.35,49574.9
2025-03-11,50.98,51.44,51.6,50.75,59053.35
2025-03-12,52.95,52.3,53.84,52.16,108892.0
2025-03-13,52.95,51.94,53.23,51.46,73215.81
2025-03-14,51.94,52.37,52.75,51.26,73789.81
2025-03-17,52.04,53.59,54.54,51.75,118634.02
2025-03-18,53.07,53.24,53.71,52.97,74098.25
2025-03-19,53.26,53.04,53.91,52.47,62340.39
2025-03-20,52.95,52.22,53.15,52.17,44287.0
2025-03-21,51.95,50.95,51.96,50.95,58253.0
2025-03-24,50.83,49.78,50.83,48.87,60758.32
2025-03-25,50.15,48.72,50.15,48.65,47452.11
2025-03-26,48.72,48.55,49.08,48.37,44306.0
