date,open,close,high,low,volume
2024-01-02,15.74,14.8,15.76,14.75,93160.4
2024-01-03,14.81,15.19,15.58,14.7,86287.5
2024-01-04,15.25,14.96,15.26,14.88,36931.0
2024-01-05,14.95,14.83,15.06,14.58,50518.0
2024-01-08,14.79,15.17,15.31,14.66,71188.76
2024-01-09,15.27,15.64,15.64,15.01,85040.31
2024-01-10,15.51,15.61,16.11,14.93,115151.53
2024-01-11,15.41,16.0,16.1,15.36,75437.64
2024-01-12,16.08,15.56,16.2,15.46,61363.0
2024-01-15,15.5,14.96,15.5,14.86,69024.3
2024-01-16,14.98,14.74,14.99,14.04,136012.91
2024-01-17,14.69,14.72,14.89,14.23,108066.34
2024-01-18,14.61,14.93,15.04,14.16,75118.9
2024-01-19,14.9,14.7,14.96,14.3,106242.96
2024-01-22,14.55,14.69,14.7,14.26,98700.69
2024-01-23,14.61,14.8,15.33,14.22,87147.22
2024-01-24,14.8,14.71,14.92,14.44,88057.71
2024-01-25,14.57,14.84,14.96,14.5,76497.93
2024-01-26,14.79,14.68,14.86,14.4,108884.19
2024-01-29,14.55,14.68,14.77,14.45,79258.06
2024-01-30,14.47,13.38,14.58,13.38,100592.11
2024-01-31,12.9,12.32,12.9,10.91,192389.78
2024-02-01,12.04,11.76,12.39,11.54,101922.81
2024-02-02,11.86,11.22,12.14,10.83,83056.19
2024-02-05,10.99,9.38,11.27,9.38,143471.07
2024-02-06,9.25,10.23,10.72,9.08,125565.0
2024-02-07,10.35,10.2,10.68,9.95,104481.84
2024-02-08,10.36,12.25,12.25,10.36,141144.18
2024-02-19,12.25,11.94,12.66,11.65,143627.06
2024-02-20,11.94,11.65,11.94,11.39,97350.41
2024-02-21,11.49,11.83,12.25,11.36,130821.88
2024-02-22,11.83,12.1,12.14,11.8,67257.51
2024-02-23,12.23,12.34,12.39,12.08,80464.51
2024-02-26,12.87,13.05,13.46,12.5,134238.58
2024-02-27,12.84,13.12,13.12,12.73,83286.7
2024-02-28,13.23,12.48,13.91,12.44,135353.21
2024-02-29,12.37,13.0,13.01,12.37,92686.0
2024-03-01,13.09,13.98,13.98,12.99,125737.82
2024-03-04,13.94,13.65,14.2,13.29,145995.0
2024-03-05,13.48,14.37,14.43,13.14,216224.54
2024-03-06,14.0,14.0,14.26,13.59,147084.62
2024-03-07,13.97,13.12,13.97,13.03,128129.0
2024-03-08,13.21,13.24,13.38,12.93,71096.0
2024-03-11,13.41,13.41,13.46,13.14,52245.86
2024-03-12,13.65,14.54,14.91,13.56,256073.16
2024-03-13,14.58,15.01,15.7,14.3,182496.52
2024-03-14,15.3,15.45,16.19,15.11,168847.88
2024-03-15,15.32,15.29,15.49,14.72,141370.0
2024-03-18,15.35,15.21,15.67,15.11,100368.17
2024-03-19,15.27,15.61,16.1,15.1,113800.0
2024-03-20,15.59,15.41,15.87,15.21,70600.92
2024-03-21,15.51,14.82,15.51,14.72,126495.43
2024-03-22,14.82,14.32,14.9,14.2,99533.22
2024-03-25,14.21,13.52,14.31,13.32,152217.99
2024-03-26,13.5,13.36,13.58,12.94,86694.74
2024-03-27,13.41,12.32,13.42,12.32,103138.0
