date,open,close,high,low,volume
2024-01-02,5.85,5.99,6.02,5.82,279904.11
2024-01-03,5.97,6.07,6.09,5.96,198069.1
2024-01-04,6.09,6.13,6.18,6.05,222935.77
2024-01-05,6.12,6.15,6.26,6.09,275098.0
2024-01-08,6.16,6.1,6.18,6.05,193415.01
2024-01-09,6.08,6.14,6.18,6.04,134198.52
2024-01-10,6.08,6.07,6.16,6.05,120256.97
2024-01-11,6.04,5.98,6.07,5.97,135887.0
2024-01-12,5.99,5.97,6.05,5.97,103722.01
2024-01-15,5.96,5.99,6.0,5.92,96019.87
2024-01-16,5.95,5.95,5.98,5.87,168321.18
2024-01-17,5.94,5.81,6.0,5.8,100029.97
2024-01-18,5.81,5.67,5.83,5.5,250594.12
2024-01-19,5.65,5.63,5.69,5.58,114564.0
2024-01-22,5.64,5.33,5.65,5.3,163906.2
2024-01-23,5.32,5.44,5.47,5.27,125514.65
2024-01-24,5.46,5.58,5.58,5.38,118253.7
2024-01-25,5.57,5.84,5.85,5.53,266528.77
2024-01-26,5.85,5.94,6.02,5.82,208441.0
2024-01-29,5.94,5.86,5.95,5.81,165117.0
2024-01-30,5.76,5.72,5.87,5.72,169634.0
2024-01-31,5.73,5.65,5.83,5.61,160645.28
2024-02-01,5.67,5.49,5.68,5.47,166889.35
2024-02-02,5.5,5.38,5.57,5.27,216843.0
2024-02-05,5.36,5.14,5.41,5.08,298175.49
2024-02-06,5.1,5.34,5.49,5.01,270074.13
2024-02-07,5.35,5.59,5.61,5.28,261737.18
2024-02-08,5.59,5.89,5.95,5.56,344803.16
2024-02-19,5.88,5.94,6.0,5.82,299631.11
2024-02-20,5.91,5.88,5.96,5.85,197797.2
2024-02-21,5.84,5.85,5.96,5.83,259798.94
2024-02-22,5.85,6.08,6.12,5.83,347923.34
2024-02-23,6.12,6.02,6.19,6.01,254879.5
2024-02-26,6.02,5.84,6.04,5.81,262647.65
2024-02-27,5.85,5.85,5.86,5.78,208989.41
2024-02-28,5.85,5.72,5.88,5.72,246655.83
2024-02-29,5.69,5.77,5.78,5.69,149720.26
2024-03-01,5.75,5.86,5.9,5.74,213539.42
2024-03-04,5.85,5.88,5.91,5.81,162079.45
2024-03-05,5.88,5.85,5.93,5.82,147003.9
2024-03-06,5.85,6.15,6.43,5.84,942321.47
2024-03-07,6.16,6.25,6.42,6.12,700479.13
